lon,lat,track_seg_point_id,ele,time
76.45388267,9.831273833,164,38.5,2024/04/26 10:55:43+00
76.45378833,9.831345333,165,36.5,2024/04/26 10:55:44+00
76.45368383,9.8314275,166,35.4,2024/04/26 10:55:45+00
76.45356917,9.831526833,167,35.2,2024/04/26 10:55:46+00
76.45346033,9.831612833,168,34.2,2024/04/26 10:55:47+00
76.45334433,9.831704667,169,33.3,2024/04/26 10:55:48+00
76.453225,9.831802167,170,32.2,2024/04/26 10:55:49+00
76.45306433,9.831936167,171,36.8,2024/04/26 10:55:50+00
76.45293517,9.832058333,172,37.8,2024/04/26 10:55:51+00
76.45280283,9.832178167,173,38.6,2024/04/26 10:55:52+00
76.452678,9.832281,174,38.5,2024/04/26 10:55:53+00
76.45255317,9.8323885,175,38.9,2024/04/26 10:55:54+00
76.45242617,9.832494167,176,39.1,2024/04/26 10:55:55+00
76.45229733,9.832600333,177,39.5,2024/04/26 10:55:56+00
76.4521695,9.832706,178,39.3,2024/04/26 10:55:57+00
76.452039,9.832815833,179,39.3,2024/04/26 10:55:58+00
76.45191017,9.832922,180,38.5,2024/04/26 10:55:59+00
76.45178233,9.833029833,181,39.8,2024/04/26 10:56:00+00
76.45165433,9.8331385,182,38.9,2024/04/26 10:56:01+00
76.451522,9.833252167,183,36.6,2024/04/26 10:56:02+00
76.45138767,9.833367333,184,34.8,2024/04/26 10:56:03+00
76.451249,9.833483667,185,33.9,2024/04/26 10:56:04+00
76.45111433,9.833600833,186,33.9,2024/04/26 10:56:05+00
76.45097867,9.833720167,187,33.2,2024/04/26 10:56:06+00
76.45084467,9.833839333,188,32,2024/04/26 10:56:07+00
76.4507095,9.833959667,189,31,2024/04/26 10:56:08+00
76.45057383,9.8340825,190,30.6,2024/04/26 10:56:09+00
76.450438,9.834205667,191,30.3,2024/04/26 10:56:10+00
76.45030317,9.834329833,192,29.1,2024/04/26 10:56:11+00
76.45016567,9.834456167,193,28.4,2024/04/26 10:56:12+00
76.45003183,9.8345745,194,27,2024/04/26 10:56:13+00
76.44989017,9.8347005,195,27.5,2024/04/26 10:56:14+00
76.44977717,9.834847,196,26.9,2024/04/26 10:56:15+00
76.44963117,9.834984,197,27,2024/04/26 10:56:16+00
76.449481,9.835117167,198,27.3,2024/04/26 10:56:17+00
76.44932917,9.835254333,199,27.5,2024/04/26 10:56:18+00
76.449178,9.835388167,200,27.5,2024/04/26 10:56:19+00
76.4490225,9.835521333,201,27.3,2024/04/26 10:56:20+00
76.4488685,9.835652333,202,27.3,2024/04/26 10:56:21+00
76.448712,9.835781,203,26.4,2024/04/26 10:56:22+00
76.448553,9.835913667,204,26.4,2024/04/26 10:56:23+00
76.44838567,9.836053333,205,25.4,2024/04/26 10:56:24+00
76.44821533,9.836196333,206,24,2024/04/26 10:56:25+00
76.44804067,9.836343333,207,23.1,2024/04/26 10:56:26+00
76.447916,9.836430667,208,22.5,2024/04/26 10:56:27+00
76.44776433,9.8365425,209,24,2024/04/26 10:56:28+00
76.4476275,9.836657167,210,23.9,2024/04/26 10:56:29+00
76.44753967,9.836697833,211,21.4,2024/04/26 10:56:30+00
76.44741467,9.836778,212,17.9,2024/04/26 10:56:31+00
76.44727217,9.836899333,213,16.6,2024/04/26 10:56:32+00
76.44712683,9.837042167,214,14.5,2024/04/26 10:56:33+00
76.44695867,9.837187833,215,16.5,2024/04/26 10:56:34+00
76.44677433,9.837360333,216,18,2024/04/26 10:56:35+00
76.44660183,9.837517167,217,18.3,2024/04/26 10:56:36+00
76.4464225,9.837697333,218,20,2024/04/26 10:56:37+00
76.44626117,9.837843667,219,18.4,2024/04/26 10:56:38+00
76.44610333,9.8379915,220,17.8,2024/04/26 10:56:39+00
76.4459635,9.838172667,221,21.5,2024/04/26 10:56:40+00
76.44581117,9.8383405,222,22.2,2024/04/26 10:56:41+00
76.44566733,9.838508667,223,22.8,2024/04/26 10:56:42+00
76.4455195,9.838696,224,23.5,2024/04/26 10:56:43+00
76.44536883,9.838883167,225,25.5,2024/04/26 10:56:44+00
76.4452475,9.839069,226,25.9,2024/04/26 10:56:45+00
76.44513967,9.839245667,227,24.7,2024/04/26 10:56:46+00
76.44504033,9.839421333,228,23.5,2024/04/26 10:56:47+00
